scenario_name,building_name,parameter_set,linearization_type,initial_state_type,price_type,timestep_start,timestep_end,timestep_interval
tanjongpagar_building_1,tanjongpagar_building_1,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_2,tanjongpagar_building_2,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_3,tanjongpagar_building_3,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_4,tanjongpagar_building_4,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_5,tanjongpagar_building_5,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_6,tanjongpagar_building_6,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_7,tanjongpagar_building_7,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_8,tanjongpagar_building_8,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_9,tanjongpagar_building_9,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_10,tanjongpagar_building_10,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_11,tanjongpagar_building_11,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_12,tanjongpagar_building_12,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_13,tanjongpagar_building_13,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_14,tanjongpagar_building_14,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_15,tanjongpagar_building_15,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_16,tanjongpagar_building_16,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_17,tanjongpagar_building_17,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_18,tanjongpagar_building_18,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_19,tanjongpagar_building_19,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_20,tanjongpagar_building_20,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_21,tanjongpagar_building_21,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
tanjongpagar_building_22,tanjongpagar_building_22,,create_linearization,cea_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00