surface_type,heat_capacity,heat_transfer_coefficient_conduction_surface,absorptivity_surface,emissivity_surface,window_type,window_wall_ratio,sky_view_factor
NL.N.SFH.04.Gen.ReEx.001.001_wall,306000.0,0.358422939,0.6,0.9,NL.N.SFH.04.Gen.ReEx.001.001_window,0.22416452442159385,0.5
NL.N.SFH.04.Gen.ReEx.001.002_wall,306000.0,0.158982512,0.6,0.9,NL.N.SFH.04.Gen.ReEx.001.002_window,0.22416452442159385,0.5
NL.N.SFH.04.Gen.ReEx.001.003_wall,306000.0,0.128369705,0.6,0.9,NL.N.SFH.04.Gen.ReEx.001.003_window,0.22416452442159385,0.5
NL.N.SFH.05.Gen.ReEx.001.001_wall,306000.0,0.265957447,0.6,0.9,NL.N.SFH.05.Gen.ReEx.001.001_window,0.19053819444444442,0.5
NL.N.SFH.05.Gen.ReEx.001.002_wall,306000.0,0.137741047,0.6,0.9,NL.N.SFH.05.Gen.ReEx.001.002_window,0.19053819444444442,0.5
NL.N.SFH.05.Gen.ReEx.001.003_wall,306000.0,0.114155251,0.6,0.9,NL.N.SFH.05.Gen.ReEx.001.003_window,0.19053819444444442,0.5
NL.N.SFH.06.Gen.ReEx.001.001_wall,306000.0,0.210084034,0.6,0.9,NL.N.SFH.06.Gen.ReEx.001.001_window,0.19053819444444442,0.5
NL.N.SFH.06.Gen.ReEx.001.003_wall,306000.0,0.102459016,0.6,0.9,NL.N.SFH.06.Gen.ReEx.001.003_window,0.19053819444444442,0.5
NL.N.SFH.01.Gen.ReEx.001.001_wall,306000.0,1.612903226,0.6,0.9,NL.N.SFH.01.Gen.ReEx.001.001_window,0.18582489577129246,0.5
NL.N.SFH.01.Gen.ReEx.001.002_wall,306000.0,0.242718447,0.6,0.9,NL.N.SFH.01.Gen.ReEx.001.002_window,0.18582489577129246,0.5
NL.N.SFH.01.Gen.ReEx.001.003_wall,306000.0,0.177935943,0.6,0.9,NL.N.SFH.01.Gen.ReEx.001.003_window,0.18582489577129246,0.5
NL.N.SFH.02.Gen.ReEx.001.001_wall,306000.0,1.449275362,0.6,0.9,NL.N.SFH.02.Gen.ReEx.001.001_window,0.24075416968817986,0.5
NL.N.SFH.02.Gen.ReEx.001.002_wall,306000.0,0.238663484,0.6,0.9,NL.N.SFH.02.Gen.ReEx.001.002_window,0.24075416968817986,0.5
NL.N.SFH.02.Gen.ReEx.001.003_wall,306000.0,0.175746924,0.6,0.9,NL.N.SFH.02.Gen.ReEx.001.003_window,0.24075416968817986,0.5
NL.N.TH.04.End.ReEx.001.002_wall,306000.0,0.158982512,0.6,0.9,NL.N.TH.04.End.ReEx.001.002_window,0.1917098445595855,0.5
NL.N.TH.05.End.ReEx.001.002_wall,306000.0,0.137741047,0.6,0.9,NL.N.TH.05.End.ReEx.001.002_window,0.2245557350565428,0.5
NL.N.TH.04.Gen.ReEx.001.001_wall,306000.0,0.358422939,0.6,0.9,NL.N.TH.04.Gen.ReEx.001.001_window,0.3256756756756757,0.5
NL.N.TH.04.Gen.ReEx.001.002_wall,306000.0,0.158982512,0.6,0.9,NL.N.TH.04.Gen.ReEx.001.002_window,0.3256756756756757,0.5
NL.N.MFH.04.Gen.ReEx.001.002_wall,306000.0,0.158982512,0.6,0.9,NL.N.MFH.04.Gen.ReEx.001.002_window,0.301295570955107,0.5
NL.N.TH.05.Gen.ReEx.001.001_wall,306000.0,0.265957447,0.6,0.9,NL.N.TH.05.Gen.ReEx.001.001_window,0.4153605015673981,0.5
NL.N.SFH.03.Gen.ReEx.001.001_wall,306000.0,0.641025641,0.6,0.9,NL.N.SFH.03.Gen.ReEx.001.001_window,0.22658126501200962,0.5
NL.N.SFH.03.Gen.ReEx.001.002_wall,306000.0,0.197628458,0.6,0.9,NL.N.SFH.03.Gen.ReEx.001.002_window,0.22658126501200962,0.5
NL.N.SFH.03.Gen.ReEx.001.003_wall,306000.0,0.152439024,0.6,0.9,NL.N.SFH.03.Gen.ReEx.001.003_window,0.22658126501200962,0.5
NL.N.TH.01.Mid1964.ReEx.001.001_wall,306000.0,1.612903226,0.6,0.9,NL.N.TH.01.Mid1964.ReEx.001.001_window,0.34923076923076923,0.5
NL.N.TH.01.Mid1964.ReEx.001.002_wall,306000.0,0.242718447,0.6,0.9,NL.N.TH.01.Mid1964.ReEx.001.002_window,0.34923076923076923,0.5
NL.N.TH.01.End1964.ReEx.001.001_wall,306000.0,1.612903226,0.6,0.9,NL.N.TH.01.End1964.ReEx.001.001_window,0.20450751252086816,0.5
NA_generic_wall,306000.0,0.5,0.6,0.9,NA_generic_window,0.5,0.5
NL.N.SFH.04.Gen.ReEx.001.001_roof,50000.0,0.358422939,0.65,0.9,NL.N.SFH.04.Gen.ReEx.001.001_window,0.0,1.0
NL.N.SFH.04.Gen.ReEx.001.002_roof,50000.0,0.158982512,0.65,0.9,NL.N.SFH.04.Gen.ReEx.001.002_window,0.0,1.0
NL.N.SFH.04.Gen.ReEx.001.003_roof,50000.0,0.113765643,0.65,0.9,NL.N.SFH.04.Gen.ReEx.001.003_window,0.0,1.0
NL.N.SFH.05.Gen.ReEx.001.001_roof,50000.0,0.234741784,0.65,0.9,NL.N.SFH.05.Gen.ReEx.001.001_window,0.0,1.0
NL.N.SFH.05.Gen.ReEx.001.002_roof,50000.0,0.128865979,0.65,0.9,NL.N.SFH.05.Gen.ReEx.001.002_window,0.0,1.0
NL.N.SFH.05.Gen.ReEx.001.003_roof,50000.0,0.097465887,0.65,0.9,NL.N.SFH.05.Gen.ReEx.001.003_window,0.0,1.0
NL.N.SFH.06.Gen.ReEx.001.001_roof,50000.0,0.159744409,0.65,0.9,NL.N.SFH.06.Gen.ReEx.001.001_window,0.0,1.0
NL.N.SFH.06.Gen.ReEx.001.003_roof,50000.0,0.081566069,0.65,0.9,NL.N.SFH.06.Gen.ReEx.001.003_window,0.0,1.0
NL.N.SFH.01.Gen.ReEx.001.001_roof,50000.0,1.538461538,0.65,0.9,NL.N.SFH.01.Gen.ReEx.001.001_window,0.0,1.0
NL.N.SFH.01.Gen.ReEx.001.002_roof,50000.0,0.240963855,0.65,0.9,NL.N.SFH.01.Gen.ReEx.001.002_window,0.0,1.0
NL.N.SFH.01.Gen.ReEx.001.003_roof,50000.0,0.15037594,0.65,0.9,NL.N.SFH.01.Gen.ReEx.001.003_window,0.0,1.0
NL.N.SFH.02.Gen.ReEx.001.001_roof,50000.0,0.8928571429999999,0.65,0.9,NL.N.SFH.02.Gen.ReEx.001.001_window,0.0,1.0
NL.N.SFH.02.Gen.ReEx.001.002_roof,50000.0,0.21645021599999997,0.65,0.9,NL.N.SFH.02.Gen.ReEx.001.002_window,0.0,1.0
NL.N.SFH.02.Gen.ReEx.001.003_roof,50000.0,0.14044943799999998,0.65,0.9,NL.N.SFH.02.Gen.ReEx.001.003_window,0.0,1.0
NL.N.TH.04.End.ReEx.001.002_roof,50000.0,0.158982512,0.65,0.9,NL.N.TH.04.End.ReEx.001.002_window,0.0,1.0
NL.N.TH.05.End.ReEx.001.002_roof,50000.0,0.128865979,0.65,0.9,NL.N.TH.05.End.ReEx.001.002_window,0.0,1.0
NL.N.TH.04.Gen.ReEx.001.001_roof,50000.0,0.358422939,0.65,0.9,NL.N.TH.04.Gen.ReEx.001.001_window,0.0,1.0
NL.N.TH.04.Gen.ReEx.001.002_roof,50000.0,0.158982512,0.65,0.9,NL.N.TH.04.Gen.ReEx.001.002_window,0.0,1.0
NL.N.MFH.04.Gen.ReEx.001.002_roof,50000.0,0.158982512,0.65,0.9,NL.N.MFH.04.Gen.ReEx.001.002_window,0.0,1.0
NL.N.TH.05.Gen.ReEx.001.001_roof,50000.0,0.234741784,0.65,0.9,NL.N.TH.05.Gen.ReEx.001.001_window,0.0,1.0
NL.N.SFH.03.Gen.ReEx.001.001_roof,50000.0,0.641025641,0.65,0.9,NL.N.SFH.03.Gen.ReEx.001.001_window,0.0,1.0
NL.N.SFH.03.Gen.ReEx.001.002_roof,50000.0,0.197628458,0.65,0.9,NL.N.SFH.03.Gen.ReEx.001.002_window,0.0,1.0
NL.N.SFH.03.Gen.ReEx.001.003_roof,50000.0,0.132275132,0.65,0.9,NL.N.SFH.03.Gen.ReEx.001.003_window,0.0,1.0
NL.N.TH.01.Mid1964.ReEx.001.001_roof,50000.0,1.538461538,0.65,0.9,NL.N.TH.01.Mid1964.ReEx.001.001_window,0.0,1.0
NL.N.TH.01.Mid1964.ReEx.001.002_roof,50000.0,0.240963855,0.65,0.9,NL.N.TH.01.Mid1964.ReEx.001.002_window,0.0,1.0
NL.N.TH.01.End1964.ReEx.001.001_roof,50000.0,1.538461538,0.65,0.9,NL.N.TH.01.End1964.ReEx.001.001_window,0.0,1.0
NA_generic_roof,50000.0,0.5,0.65,0.9,NA_generic_window,0.0,1.0
NL.N.SFH.04.Gen.ReEx.001.001_floor,0.0,0.358422939,0.0,0.0,NL.N.SFH.04.Gen.ReEx.001.001_window,0.0,0.0
NL.N.SFH.04.Gen.ReEx.001.002_floor,0.0,0.158982512,0.0,0.0,NL.N.SFH.04.Gen.ReEx.001.002_window,0.0,0.0
NL.N.SFH.04.Gen.ReEx.001.003_floor,0.0,0.128369705,0.0,0.0,NL.N.SFH.04.Gen.ReEx.001.003_window,0.0,0.0
NL.N.SFH.05.Gen.ReEx.001.001_floor,0.0,0.265957447,0.0,0.0,NL.N.SFH.05.Gen.ReEx.001.001_window,0.0,0.0
NL.N.SFH.05.Gen.ReEx.001.002_floor,0.0,0.137741047,0.0,0.0,NL.N.SFH.05.Gen.ReEx.001.002_window,0.0,0.0
NL.N.SFH.05.Gen.ReEx.001.003_floor,0.0,0.114155251,0.0,0.0,NL.N.SFH.05.Gen.ReEx.001.003_window,0.0,0.0
NL.N.SFH.06.Gen.ReEx.001.001_floor,0.0,0.265957447,0.0,0.0,NL.N.SFH.06.Gen.ReEx.001.001_window,0.0,0.0
NL.N.SFH.06.Gen.ReEx.001.003_floor,0.0,0.114155251,0.0,0.0,NL.N.SFH.06.Gen.ReEx.001.003_window,0.0,0.0
NL.N.SFH.01.Gen.ReEx.001.001_floor,0.0,1.724137931,0.0,0.0,NL.N.SFH.01.Gen.ReEx.001.001_window,0.0,0.0
NL.N.SFH.01.Gen.ReEx.001.002_floor,0.0,0.245098039,0.0,0.0,NL.N.SFH.01.Gen.ReEx.001.002_window,0.0,0.0
NL.N.SFH.01.Gen.ReEx.001.003_floor,0.0,0.17921147,0.0,0.0,NL.N.SFH.01.Gen.ReEx.001.003_window,0.0,0.0
NL.N.SFH.02.Gen.ReEx.001.001_floor,0.0,2.325581395,0.0,0.0,NL.N.SFH.02.Gen.ReEx.001.001_window,0.0,0.0
NL.N.SFH.02.Gen.ReEx.001.002_floor,0.0,0.254452926,0.0,0.0,NL.N.SFH.02.Gen.ReEx.001.002_window,0.0,0.0
NL.N.SFH.02.Gen.ReEx.001.003_floor,0.0,0.184162063,0.0,0.0,NL.N.SFH.02.Gen.ReEx.001.003_window,0.0,0.0
NL.N.TH.04.End.ReEx.001.002_floor,0.0,0.158982512,0.0,0.0,NL.N.TH.04.End.ReEx.001.002_window,0.0,0.0
NL.N.TH.05.End.ReEx.001.002_floor,0.0,0.137741047,0.0,0.0,NL.N.TH.05.End.ReEx.001.002_window,0.0,0.0
NL.N.TH.04.Gen.ReEx.001.001_floor,0.0,0.358422939,0.0,0.0,NL.N.TH.04.Gen.ReEx.001.001_window,0.0,0.0
NL.N.TH.04.Gen.ReEx.001.002_floor,0.0,0.158982512,0.0,0.0,NL.N.TH.04.Gen.ReEx.001.002_window,0.0,0.0
NL.N.MFH.04.Gen.ReEx.001.002_floor,0.0,0.158982512,0.0,0.0,NL.N.MFH.04.Gen.ReEx.001.002_window,0.0,0.0
NL.N.TH.05.Gen.ReEx.001.001_floor,0.0,0.265957447,0.0,0.0,NL.N.TH.05.Gen.ReEx.001.001_window,0.0,0.0
NL.N.SFH.03.Gen.ReEx.001.001_floor,0.0,0.641025641,0.0,0.0,NL.N.SFH.03.Gen.ReEx.001.001_window,0.0,0.0
NL.N.SFH.03.Gen.ReEx.001.002_floor,0.0,0.197628458,0.0,0.0,NL.N.SFH.03.Gen.ReEx.001.002_window,0.0,0.0
NL.N.SFH.03.Gen.ReEx.001.003_floor,0.0,0.152439024,0.0,0.0,NL.N.SFH.03.Gen.ReEx.001.003_window,0.0,0.0
NL.N.TH.01.Mid1964.ReEx.001.001_floor,0.0,1.724137931,0.0,0.0,NL.N.TH.01.Mid1964.ReEx.001.001_window,0.0,0.0
NL.N.TH.01.Mid1964.ReEx.001.002_floor,0.0,0.245098039,0.0,0.0,NL.N.TH.01.Mid1964.ReEx.001.002_window,0.0,0.0
NL.N.TH.01.End1964.ReEx.001.001_floor,0.0,1.724137931,0.0,0.0,NL.N.TH.01.End1964.ReEx.001.001_window,0.0,0.0
NA_generic_floor,0.0,0.5,0.0,0.0,NA_generic_window,0.0,0.0
