"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Feb 2021","1","0.60"
"MFP","01 Feb 2021","2","0.01"
"MFP","01 Feb 2021","3","0.01"
"MFP","01 Feb 2021","4","0.01"
"MFP","01 Feb 2021","5","0.01"
"MFP","01 Feb 2021","6","0.01"
"MFP","01 Feb 2021","7","0.01"
"MFP","01 Feb 2021","8","0.01"
"MFP","01 Feb 2021","9","0.01"
"MFP","01 Feb 2021","10","0.01"
"MFP","01 Feb 2021","11","0.01"
"MFP","01 Feb 2021","12","0.90"
"MFP","01 Feb 2021","13","0.90"
"MFP","01 Feb 2021","14","1.49"
"MFP","01 Feb 2021","15","1.20"
"MFP","01 Feb 2021","16","11.33"
"MFP","01 Feb 2021","17","16.69"
"MFP","01 Feb 2021","18","23.00"
"MFP","01 Feb 2021","19","23.58"
"MFP","01 Feb 2021","20","17.88"
"MFP","01 Feb 2021","21","21.08"
"MFP","01 Feb 2021","22","17.00"
"MFP","01 Feb 2021","23","20.00"
"MFP","01 Feb 2021","24","13.32"
"MFP","01 Feb 2021","25","11.31"
"MFP","01 Feb 2021","26","12.12"
"MFP","01 Feb 2021","27","19.87"
"MFP","01 Feb 2021","28","22.58"
"MFP","01 Feb 2021","29","22.14"
"MFP","01 Feb 2021","30","20.09"
"MFP","01 Feb 2021","31","19.93"
"MFP","01 Feb 2021","32","23.99"
"MFP","01 Feb 2021","33","24.99"
"MFP","01 Feb 2021","34","23.49"
"MFP","01 Feb 2021","35","17.88"
"MFP","01 Feb 2021","36","12.71"
"MFP","01 Feb 2021","37","21.66"
"MFP","01 Feb 2021","38","13.33"
"MFP","01 Feb 2021","39","28.99"
"MFP","01 Feb 2021","40","19.87"
"MFP","01 Feb 2021","41","13.33"
"MFP","01 Feb 2021","42","12.12"
"MFP","01 Feb 2021","43","9.64"
"MFP","01 Feb 2021","44","6.89"
"MFP","01 Feb 2021","45","4.39"
"MFP","01 Feb 2021","46","1.28"
"MFP","01 Feb 2021","47","1.20"
"MFP","01 Feb 2021","48","0.90"
"MFP","02 Feb 2021","1","1.00"
"MFP","02 Feb 2021","2","0.60"
"MFP","02 Feb 2021","3","0.50"
"MFP","02 Feb 2021","4","0.50"
"MFP","02 Feb 2021","5","0.01"
"MFP","02 Feb 2021","6","0.50"
"MFP","02 Feb 2021","7","0.50"
"MFP","02 Feb 2021","8","0.01"
"MFP","02 Feb 2021","9","0.01"
"MFP","02 Feb 2021","10","0.01"
"MFP","02 Feb 2021","11","0.50"
"MFP","02 Feb 2021","12","1.00"
"MFP","02 Feb 2021","13","1.28"
"MFP","02 Feb 2021","14","1.48"
"MFP","02 Feb 2021","15","2.46"
"MFP","02 Feb 2021","16","9.88"
"MFP","02 Feb 2021","17","12.62"
"MFP","02 Feb 2021","18","19.38"
"MFP","02 Feb 2021","19","19.07"
"MFP","02 Feb 2021","20","27.11"
"MFP","02 Feb 2021","21","30.70"
"MFP","02 Feb 2021","22","28.99"
"MFP","02 Feb 2021","23","28.99"
"MFP","02 Feb 2021","24","28.56"
"MFP","02 Feb 2021","25","19.18"
"MFP","02 Feb 2021","26","19.18"
"MFP","02 Feb 2021","27","20.72"
"MFP","02 Feb 2021","28","36.07"
"MFP","02 Feb 2021","29","38.48"
"MFP","02 Feb 2021","30","41.78"
"MFP","02 Feb 2021","31","37.71"
"MFP","02 Feb 2021","32","47.76"
"MFP","02 Feb 2021","33","38.88"
"MFP","02 Feb 2021","34","35.21"
"MFP","02 Feb 2021","35","30.69"
"MFP","02 Feb 2021","36","20.38"
"MFP","02 Feb 2021","37","19.80"
"MFP","02 Feb 2021","38","21.68"
"MFP","02 Feb 2021","39","28.25"
"MFP","02 Feb 2021","40","21.55"
"MFP","02 Feb 2021","41","14.28"
"MFP","02 Feb 2021","42","17.87"
"MFP","02 Feb 2021","43","10.87"
"MFP","02 Feb 2021","44","6.47"
"MFP","02 Feb 2021","45","2.78"
"MFP","02 Feb 2021","46","1.69"
"MFP","02 Feb 2021","47","1.10"
"MFP","02 Feb 2021","48","1.00"
"MFP","03 Feb 2021","1","1.00"
"MFP","03 Feb 2021","2","0.60"
"MFP","03 Feb 2021","3","0.50"
"MFP","03 Feb 2021","4","0.50"
"MFP","03 Feb 2021","5","0.01"
"MFP","03 Feb 2021","6","0.50"
"MFP","03 Feb 2021","7","0.50"
"MFP","03 Feb 2021","8","0.01"
"MFP","03 Feb 2021","9","0.01"
"MFP","03 Feb 2021","10","0.01"
"MFP","03 Feb 2021","11","0.50"
"MFP","03 Feb 2021","12","1.00"
"MFP","03 Feb 2021","13","1.20"
"MFP","03 Feb 2021","14","1.20"
"MFP","03 Feb 2021","15","1.33"
"MFP","03 Feb 2021","16","6.96"
"MFP","03 Feb 2021","17","12.96"
"MFP","03 Feb 2021","18","18.87"
"MFP","03 Feb 2021","19","20.47"
"MFP","03 Feb 2021","20","24.99"
"MFP","03 Feb 2021","21","28.88"
"MFP","03 Feb 2021","22","28.99"
"MFP","03 Feb 2021","23","28.88"
"MFP","03 Feb 2021","24","13.32"
"MFP","03 Feb 2021","25","12.12"
"MFP","03 Feb 2021","26","12.70"
"MFP","03 Feb 2021","27","20.38"
"MFP","03 Feb 2021","28","29.88"
"MFP","03 Feb 2021","29","28.88"
"MFP","03 Feb 2021","30","19.58"
"MFP","03 Feb 2021","31","28.99"
"MFP","03 Feb 2021","32","28.99"
"MFP","03 Feb 2021","33","28.99"
"MFP","03 Feb 2021","34","24.97"
"MFP","03 Feb 2021","35","21.41"
"MFP","03 Feb 2021","36","13.62"
"MFP","03 Feb 2021","37","13.75"
"MFP","03 Feb 2021","38","19.18"
"MFP","03 Feb 2021","39","20.58"
"MFP","03 Feb 2021","40","18.95"
"MFP","03 Feb 2021","41","13.83"
"MFP","03 Feb 2021","42","12.61"
"MFP","03 Feb 2021","43","9.66"
"MFP","03 Feb 2021","44","5.21"
"MFP","03 Feb 2021","45","2.05"
"MFP","03 Feb 2021","46","1.88"
"MFP","03 Feb 2021","47","1.00"
"MFP","03 Feb 2021","48","1.00"
"MFP","04 Feb 2021","1","1.00"
"MFP","04 Feb 2021","2","0.60"
"MFP","04 Feb 2021","3","0.50"
"MFP","04 Feb 2021","4","0.50"
"MFP","04 Feb 2021","5","0.50"
"MFP","04 Feb 2021","6","0.50"
"MFP","04 Feb 2021","7","0.50"
"MFP","04 Feb 2021","8","0.01"
"MFP","04 Feb 2021","9","0.01"
"MFP","04 Feb 2021","10","0.01"
"MFP","04 Feb 2021","11","0.50"
"MFP","04 Feb 2021","12","1.12"
"MFP","04 Feb 2021","13","1.33"
"MFP","04 Feb 2021","14","1.33"
"MFP","04 Feb 2021","15","8.00"
"MFP","04 Feb 2021","16","6.68"
"MFP","04 Feb 2021","17","10.59"
"MFP","04 Feb 2021","18","10.59"
"MFP","04 Feb 2021","19","9.88"
"MFP","04 Feb 2021","20","8.47"
"MFP","04 Feb 2021","21","8.93"
"MFP","04 Feb 2021","22","3.66"
"MFP","04 Feb 2021","23","8.00"
"MFP","04 Feb 2021","24","2.83"
"MFP","04 Feb 2021","25","2.80"
"MFP","04 Feb 2021","26","5.00"
"MFP","04 Feb 2021","27","8.00"
"MFP","04 Feb 2021","28","8.00"
"MFP","04 Feb 2021","29","8.00"
"MFP","04 Feb 2021","30","8.00"
"MFP","04 Feb 2021","31","5.00"
"MFP","04 Feb 2021","32","5.00"
"MFP","04 Feb 2021","33","8.00"
"MFP","04 Feb 2021","34","8.78"
"MFP","04 Feb 2021","35","5.75"
"MFP","04 Feb 2021","36","8.00"
"MFP","04 Feb 2021","37","13.48"
"MFP","04 Feb 2021","38","11.64"
"MFP","04 Feb 2021","39","8.73"
"MFP","04 Feb 2021","40","8.64"
"MFP","04 Feb 2021","41","8.00"
"MFP","04 Feb 2021","42","8.39"
"MFP","04 Feb 2021","43","8.00"
"MFP","04 Feb 2021","44","4.73"
"MFP","04 Feb 2021","45","3.48"
"MFP","04 Feb 2021","46","1.45"
"MFP","04 Feb 2021","47","1.28"
"MFP","04 Feb 2021","48","0.90"
"MFP","05 Feb 2021","1","1.00"
"MFP","05 Feb 2021","2","0.60"
"MFP","05 Feb 2021","3","0.50"
"MFP","05 Feb 2021","4","0.50"
"MFP","05 Feb 2021","5","0.50"
"MFP","05 Feb 2021","6","0.50"
"MFP","05 Feb 2021","7","0.50"
"MFP","05 Feb 2021","8","0.01"
"MFP","05 Feb 2021","9","0.01"
"MFP","05 Feb 2021","10","0.01"
"MFP","05 Feb 2021","11","0.50"
"MFP","05 Feb 2021","12","1.00"
"MFP","05 Feb 2021","13","1.20"
"MFP","05 Feb 2021","14","1.10"
"MFP","05 Feb 2021","15","1.33"
"MFP","05 Feb 2021","16","2.00"
"MFP","05 Feb 2021","17","8.00"
"MFP","05 Feb 2021","18","10.77"
"MFP","05 Feb 2021","19","8.00"
"MFP","05 Feb 2021","20","8.00"
"MFP","05 Feb 2021","21","8.00"
"MFP","05 Feb 2021","22","8.00"
"MFP","05 Feb 2021","23","8.00"
"MFP","05 Feb 2021","24","8.00"
"MFP","05 Feb 2021","25","8.00"
"MFP","05 Feb 2021","26","8.00"
"MFP","05 Feb 2021","27","9.88"
"MFP","05 Feb 2021","28","10.52"
"MFP","05 Feb 2021","29","8.00"
"MFP","05 Feb 2021","30","28.99"
"MFP","05 Feb 2021","31","28.99"
"MFP","05 Feb 2021","32","29.04"
"MFP","05 Feb 2021","33","28.99"
"MFP","05 Feb 2021","34","33.41"
"MFP","05 Feb 2021","35","25.32"
"MFP","05 Feb 2021","36","13.33"
"MFP","05 Feb 2021","37","14.02"
"MFP","05 Feb 2021","38","15.82"
"MFP","05 Feb 2021","39","16.88"
"MFP","05 Feb 2021","40","13.39"
"MFP","05 Feb 2021","41","12.18"
"MFP","05 Feb 2021","42","12.10"
"MFP","05 Feb 2021","43","10.12"
"MFP","05 Feb 2021","44","8.00"
"MFP","05 Feb 2021","45","3.21"
"MFP","05 Feb 2021","46","2.88"
"MFP","05 Feb 2021","47","1.00"
"MFP","05 Feb 2021","48","1.00"
"MFP","06 Feb 2021","1","1.52"
"MFP","06 Feb 2021","2","1.12"
"MFP","06 Feb 2021","3","0.82"
"MFP","06 Feb 2021","4","0.60"
"MFP","06 Feb 2021","5","0.56"
"MFP","06 Feb 2021","6","0.56"
"MFP","06 Feb 2021","7","0.56"
"MFP","06 Feb 2021","8","0.50"
"MFP","06 Feb 2021","9","0.50"
"MFP","06 Feb 2021","10","0.50"
"MFP","06 Feb 2021","11","0.60"
"MFP","06 Feb 2021","12","1.10"
"MFP","06 Feb 2021","13","1.28"
"MFP","06 Feb 2021","14","1.28"
"MFP","06 Feb 2021","15","8.00"
"MFP","06 Feb 2021","16","8.00"
"MFP","06 Feb 2021","17","8.00"
"MFP","06 Feb 2021","18","12.12"
"MFP","06 Feb 2021","19","12.29"
"MFP","06 Feb 2021","20","12.48"
"MFP","06 Feb 2021","21","23.19"
"MFP","06 Feb 2021","22","21.84"
"MFP","06 Feb 2021","23","23.15"
"MFP","06 Feb 2021","24","18.00"
"MFP","06 Feb 2021","25","15.88"
"MFP","06 Feb 2021","26","14.29"
"MFP","06 Feb 2021","27","14.39"
"MFP","06 Feb 2021","28","13.01"
"MFP","06 Feb 2021","29","13.01"
"MFP","06 Feb 2021","30","13.00"
"MFP","06 Feb 2021","31","12.14"
"MFP","06 Feb 2021","32","12.14"
"MFP","06 Feb 2021","33","12.12"
"MFP","06 Feb 2021","34","10.98"
"MFP","06 Feb 2021","35","11.64"
"MFP","06 Feb 2021","36","11.65"
"MFP","06 Feb 2021","37","13.05"
"MFP","06 Feb 2021","38","19.96"
"MFP","06 Feb 2021","39","15.88"
"MFP","06 Feb 2021","40","15.88"
"MFP","06 Feb 2021","41","14.25"
"MFP","06 Feb 2021","42","15.57"
"MFP","06 Feb 2021","43","12.03"
"MFP","06 Feb 2021","44","9.88"
"MFP","06 Feb 2021","45","7.29"
"MFP","06 Feb 2021","46","1.33"
"MFP","06 Feb 2021","47","3.47"
"MFP","06 Feb 2021","48","3.55"
"MFP","07 Feb 2021","1","5.75"
"MFP","07 Feb 2021","2","3.94"
"MFP","07 Feb 2021","3","1.20"
"MFP","07 Feb 2021","4","1.00"
"MFP","07 Feb 2021","5","1.00"
"MFP","07 Feb 2021","6","1.00"
"MFP","07 Feb 2021","7","1.00"
"MFP","07 Feb 2021","8","1.00"
"MFP","07 Feb 2021","9","1.00"
"MFP","07 Feb 2021","10","1.00"
"MFP","07 Feb 2021","11","1.10"
"MFP","07 Feb 2021","12","8.00"
"MFP","07 Feb 2021","13","10.00"
"MFP","07 Feb 2021","14","10.00"
"MFP","07 Feb 2021","15","10.00"
"MFP","07 Feb 2021","16","10.00"
"MFP","07 Feb 2021","17","10.00"
"MFP","07 Feb 2021","18","10.00"
"MFP","07 Feb 2021","19","10.00"
"MFP","07 Feb 2021","20","10.00"
"MFP","07 Feb 2021","21","13.33"
"MFP","07 Feb 2021","22","10.00"
"MFP","07 Feb 2021","23","10.00"
"MFP","07 Feb 2021","24","10.00"
"MFP","07 Feb 2021","25","10.00"
"MFP","07 Feb 2021","26","10.00"
"MFP","07 Feb 2021","27","10.48"
"MFP","07 Feb 2021","28","11.10"
"MFP","07 Feb 2021","29","11.50"
"MFP","07 Feb 2021","30","11.50"
"MFP","07 Feb 2021","31","10.76"
"MFP","07 Feb 2021","32","11.07"
"MFP","07 Feb 2021","33","11.09"
"MFP","07 Feb 2021","34","11.88"
"MFP","07 Feb 2021","35","12.12"
"MFP","07 Feb 2021","36","15.29"
"MFP","07 Feb 2021","37","19.88"
"MFP","07 Feb 2021","38","22.59"
"MFP","07 Feb 2021","39","31.87"
"MFP","07 Feb 2021","40","33.87"
"MFP","07 Feb 2021","41","20.88"
"MFP","07 Feb 2021","42","16.88"
"MFP","07 Feb 2021","43","12.12"
"MFP","07 Feb 2021","44","17.87"
"MFP","07 Feb 2021","45","11.07"
"MFP","07 Feb 2021","46","9.00"
"MFP","07 Feb 2021","47","8.00"
"MFP","07 Feb 2021","48","8.00"
"MFP","08 Feb 2021","1","1.00"
"MFP","08 Feb 2021","2","0.60"
"MFP","08 Feb 2021","3","0.56"
"MFP","08 Feb 2021","4","0.60"
"MFP","08 Feb 2021","5","0.56"
"MFP","08 Feb 2021","6","0.60"
"MFP","08 Feb 2021","7","0.56"
"MFP","08 Feb 2021","8","0.50"
"MFP","08 Feb 2021","9","0.50"
"MFP","08 Feb 2021","10","0.50"
"MFP","08 Feb 2021","11","0.60"
"MFP","08 Feb 2021","12","1.10"
"MFP","08 Feb 2021","13","1.73"
"MFP","08 Feb 2021","14","3.24"
"MFP","08 Feb 2021","15","11.43"
"MFP","08 Feb 2021","16","16.88"
"MFP","08 Feb 2021","17","33.33"
"MFP","08 Feb 2021","18","39.04"
"MFP","08 Feb 2021","19","49.54"
"MFP","08 Feb 2021","20","50.00"
"MFP","08 Feb 2021","21","184.97"
"MFP","08 Feb 2021","22","167.99"
"MFP","08 Feb 2021","23","174.99"
"MFP","08 Feb 2021","24","21.88"
"MFP","08 Feb 2021","25","11.69"
"MFP","08 Feb 2021","26","18.88"
"MFP","08 Feb 2021","27","29.88"
"MFP","08 Feb 2021","28","18.88"
"MFP","08 Feb 2021","29","16.88"
"MFP","08 Feb 2021","30","15.00"
"MFP","08 Feb 2021","31","13.33"
"MFP","08 Feb 2021","32","15.00"
"MFP","08 Feb 2021","33","13.33"
"MFP","08 Feb 2021","34","16.88"
"MFP","08 Feb 2021","35","15.00"
"MFP","08 Feb 2021","36","12.12"
"MFP","08 Feb 2021","37","12.12"
"MFP","08 Feb 2021","38","9.88"
"MFP","08 Feb 2021","39","9.88"
"MFP","08 Feb 2021","40","9.88"
"MFP","08 Feb 2021","41","9.03"
"MFP","08 Feb 2021","42","8.00"
"MFP","08 Feb 2021","43","3.49"
"MFP","08 Feb 2021","44","5.00"
"MFP","08 Feb 2021","45","1.20"
"MFP","08 Feb 2021","46","0.99"
"MFP","08 Feb 2021","47","1.00"
"MFP","08 Feb 2021","48","0.88"
"MFP","09 Feb 2021","1","1.88"
"MFP","09 Feb 2021","2","0.10"
"MFP","09 Feb 2021","3","0.10"
"MFP","09 Feb 2021","4","0.10"
"MFP","09 Feb 2021","5","0.10"
"MFP","09 Feb 2021","6","0.10"
"MFP","09 Feb 2021","7","0.10"
"MFP","09 Feb 2021","8","0.01"
"MFP","09 Feb 2021","9","0.01"
"MFP","09 Feb 2021","10","0.50"
"MFP","09 Feb 2021","11","0.10"
"MFP","09 Feb 2021","12","1.00"
"MFP","09 Feb 2021","13","3.49"
"MFP","09 Feb 2021","14","1.75"
"MFP","09 Feb 2021","15","3.10"
"MFP","09 Feb 2021","16","8.20"
"MFP","09 Feb 2021","17","12.12"
"MFP","09 Feb 2021","18","20.87"
"MFP","09 Feb 2021","19","8.49"
"MFP","09 Feb 2021","20","2.80"
"MFP","09 Feb 2021","21","3.65"
"MFP","09 Feb 2021","22","1.20"
"MFP","09 Feb 2021","23","4.00"
"MFP","09 Feb 2021","24","1.20"
"MFP","09 Feb 2021","25","1.20"
"MFP","09 Feb 2021","26","1.20"
"MFP","09 Feb 2021","27","1.88"
"MFP","09 Feb 2021","28","5.00"
"MFP","09 Feb 2021","29","7.12"
"MFP","09 Feb 2021","30","6.21"
"MFP","09 Feb 2021","31","1.28"
"MFP","09 Feb 2021","32","1.33"
"MFP","09 Feb 2021","33","6.81"
"MFP","09 Feb 2021","34","9.29"
"MFP","09 Feb 2021","35","1.95"
"MFP","09 Feb 2021","36","9.29"
"MFP","09 Feb 2021","37","9.24"
"MFP","09 Feb 2021","38","8.70"
"MFP","09 Feb 2021","39","8.70"
"MFP","09 Feb 2021","40","8.49"
"MFP","09 Feb 2021","41","2.00"
"MFP","09 Feb 2021","42","1.28"
"MFP","09 Feb 2021","43","12.72"
"MFP","09 Feb 2021","44","10.18"
"MFP","09 Feb 2021","45","8.00"
"MFP","09 Feb 2021","46","7.79"
"MFP","09 Feb 2021","47","1.20"
"MFP","09 Feb 2021","48","0.90"
"MFP","10 Feb 2021","1","1.20"
"MFP","10 Feb 2021","2","0.50"
"MFP","10 Feb 2021","3","0.50"
"MFP","10 Feb 2021","4","0.50"
"MFP","10 Feb 2021","5","0.01"
"MFP","10 Feb 2021","6","0.50"
"MFP","10 Feb 2021","7","0.50"
"MFP","10 Feb 2021","8","0.01"
"MFP","10 Feb 2021","9","0.01"
"MFP","10 Feb 2021","10","0.01"
"MFP","10 Feb 2021","11","0.50"
"MFP","10 Feb 2021","12","1.00"
"MFP","10 Feb 2021","13","1.20"
"MFP","10 Feb 2021","14","1.20"
"MFP","10 Feb 2021","15","7.66"
