,RegDTest
0:00:00,0.00633
0:00:02,0.00628
0:00:04,-0.00434
0:00:06,-0.01892
0:00:08,-0.04334
0:00:10,-0.07157
0:00:12,-0.09979
0:00:14,-0.13112
0:00:16,-0.16364
0:00:18,-0.19615
0:00:20,-0.22867
0:00:22,-0.26119
0:00:24,-0.29371
0:00:26,-0.32622
0:00:28,-0.34946
0:00:30,-0.36929
0:00:32,-0.38911
0:00:34,-0.40184
0:00:36,-0.41182
0:00:38,-0.42180
0:00:40,-0.43177
0:00:42,-0.43439
0:00:44,-0.43426
0:00:46,-0.43414
0:00:48,-0.42454
0:00:50,-0.41137
0:00:52,-0.39819
0:00:54,-0.38502
0:00:56,-0.37184
0:00:58,-0.35867
0:01:00,-0.34549
0:01:02,-0.32724
0:01:04,-0.30705
0:01:06,-0.28687
0:01:08,-0.26668
0:01:10,-0.26106
0:01:12,-0.24892
0:01:14,-0.23234
0:01:16,-0.21577
0:01:18,-0.19920
0:01:20,-0.18631
0:01:22,-0.17482
0:01:24,-0.16115
0:01:26,-0.14665
0:01:28,-0.13524
0:01:30,-0.12500
0:01:32,-0.11477
0:01:34,-0.10453
0:01:36,-0.09429
0:01:38,-0.07864
0:01:40,-0.06101
0:01:42,-0.04337
0:01:44,-0.02574
0:01:46,-0.00810
0:01:48,0.00954
0:01:50,0.02717
0:01:52,0.04481
0:01:54,0.06597
0:01:56,0.08842
0:01:58,0.11088
0:02:00,0.13333
0:02:02,0.15668
0:02:04,0.18037
0:02:06,0.20406
0:02:08,0.22774
0:02:10,0.24362
0:02:12,0.25658
0:02:14,0.26954
0:02:16,0.28249
0:02:18,0.29281
0:02:20,0.30216
0:02:22,0.31150
0:02:24,0.32084
0:02:26,0.33018
0:02:28,0.34520
0:02:30,0.36234
0:02:32,0.37947
0:02:34,0.39660
0:02:36,0.42106
0:02:38,0.44828
0:02:40,0.47550
0:02:42,0.49512
0:02:44,0.51564
0:02:46,0.54415
0:02:48,0.57206
0:02:50,0.59975
0:02:52,0.62744
0:02:54,0.66070
0:02:56,0.69609
0:02:58,0.73149
0:03:00,0.76689
0:03:02,0.80228
0:03:04,0.82814
0:03:06,0.85042
0:03:08,0.87270
0:03:10,0.89095
0:03:12,0.90768
0:03:14,0.92441
0:03:16,0.94113
0:03:18,0.95786
0:03:20,0.97459
0:03:22,0.99132
0:03:24,0.99578
0:03:26,0.99561
0:03:28,0.99545
0:03:30,0.99528
0:03:32,0.99512
0:03:34,0.99495
0:03:36,0.99479
0:03:38,0.99462
0:03:40,0.99446
0:03:42,0.99429
0:03:44,0.99412
0:03:46,0.99396
0:03:48,0.99379
0:03:50,0.99363
0:03:52,0.99346
0:03:54,0.99330
0:03:56,0.98607
0:03:58,0.97624
0:04:00,0.96641
0:04:02,0.95141
0:04:04,0.93449
0:04:06,0.91758
0:04:08,0.90067
0:04:10,0.88375
0:04:12,0.86684
0:04:14,0.84993
0:04:16,0.83301
0:04:18,0.81610
0:04:20,0.79940
0:04:22,0.78279
0:04:24,0.76618
0:04:26,0.74957
0:04:28,0.73296
0:04:30,0.71635
0:04:32,0.69974
0:04:34,0.68313
0:04:36,0.66652
0:04:38,0.64991
0:04:40,0.63330
0:04:42,0.61633
0:04:44,0.59922
0:04:46,0.58212
0:04:48,0.56501
0:04:50,0.54790
0:04:52,0.53080
0:04:54,0.51923
0:04:56,0.50974
0:04:58,0.50026
0:05:00,0.49078
0:05:02,0.48129
0:05:04,0.47181
0:05:06,0.46604
0:05:08,0.46170
0:05:10,0.45736
0:05:12,0.45302
0:05:14,0.44868
0:05:16,0.44435
0:05:18,0.44001
0:05:20,0.43567
0:05:22,0.43573
0:05:24,0.43747
0:05:26,0.43920
0:05:28,0.44094
0:05:30,0.44268
0:05:32,0.44442
0:05:34,0.44615
0:05:36,0.44668
0:05:38,0.44676
0:05:40,0.44684
0:05:42,0.44691
0:05:44,0.44699
0:05:46,0.44706
0:05:48,0.44714
0:05:50,0.44721
0:05:52,0.44729
0:05:54,0.45415
0:05:56,0.46351
0:05:58,0.47287
0:06:00,0.48223
0:06:02,0.49426
0:06:04,0.50733
0:06:06,0.52040
0:06:08,0.53348
0:06:10,0.54655
0:06:12,0.55348
0:06:14,0.55811
0:06:16,0.56274
0:06:18,0.56738
0:06:20,0.57201
0:06:22,0.57664
0:06:24,0.58127
0:06:26,0.58590
0:06:28,0.59053
0:06:30,0.59089
0:06:32,0.58963
0:06:34,0.58836
0:06:36,0.58070
0:06:38,0.57064
0:06:40,0.56059
0:06:42,0.54604
0:06:44,0.52982
0:06:46,0.51359
0:06:48,0.49737
0:06:50,0.48115
0:06:52,0.46493
0:06:54,0.44870
0:06:56,0.43248
0:06:58,0.42205
0:07:00,0.41376
0:07:02,0.40547
0:07:04,0.39950
0:07:06,0.39443
0:07:08,0.38937
0:07:10,0.38430
0:07:12,0.37793
0:07:14,0.37105
0:07:16,0.36417
0:07:18,0.35729
0:07:20,0.35680
0:07:22,0.35866
0:07:24,0.37247
0:07:26,0.39086
0:07:28,0.40926
0:07:30,0.43219
0:07:32,0.45679
0:07:34,0.48139
0:07:36,0.50600
0:07:38,0.53060
0:07:40,0.55520
0:07:42,0.57980
0:07:44,0.60440
0:07:46,0.62859
0:07:48,0.65263
0:07:50,0.67667
0:07:52,0.70071
0:07:54,0.72475
0:07:56,0.74879
0:07:58,0.77283
0:08:00,0.79033
0:08:02,0.80533
0:08:04,0.82033
0:08:06,0.83533
0:08:08,0.85033
0:08:10,0.86533
0:08:12,0.88033
0:08:14,0.89533
0:08:16,0.91033
0:08:18,0.91768
0:08:20,0.92217
0:08:22,0.92667
0:08:24,0.92147
0:08:26,0.91263
0:08:28,0.90379
0:08:30,0.88895
0:08:32,0.87188
0:08:34,0.85480
0:08:36,0.83773
0:08:38,0.81364
0:08:40,0.78682
0:08:42,0.76001
0:08:44,0.73320
0:08:46,0.70418
0:08:48,0.67436
0:08:50,0.64455
0:08:52,0.61473
0:08:54,0.58491
0:08:56,0.55509
0:08:58,0.53108
0:09:00,0.50932
0:09:02,0.48757
0:09:04,0.47496
0:09:06,0.46579
0:09:08,0.46473
0:09:10,0.46676
0:09:12,0.49101
0:09:14,0.52356
0:09:16,0.55611
0:09:18,0.56510
0:09:20,0.59517
0:09:22,0.63669
0:09:24,0.68375
0:09:26,0.73285
0:09:28,0.80275
0:09:30,0.84200
0:09:32,0.86666
0:09:34,0.89133
0:09:36,0.90772
0:09:38,0.92093
0:09:40,0.93413
0:09:42,0.94733
0:09:44,0.95459
0:09:46,0.95964
0:09:48,0.96469
0:09:50,0.96975
0:09:52,0.97480
0:09:54,0.97985
0:09:56,0.98491
0:09:58,0.98703
0:10:00,0.98805
0:10:02,0.98906
0:10:04,0.99007
0:10:06,0.99109
0:10:08,0.99210
0:10:10,0.99311
0:10:12,0.99413
0:10:14,0.99514
0:10:16,0.99616
0:10:18,0.99717
0:10:20,0.99818
0:10:22,0.99846
0:10:24,0.99846
0:10:26,0.99846
0:10:28,0.99846
0:10:30,0.99846
0:10:32,0.99845
0:10:34,0.99845
0:10:36,0.99845
0:10:38,0.99845
0:10:40,0.99845
0:10:42,0.99845
0:10:44,0.99845
0:10:46,0.99844
0:10:48,0.99844
0:10:50,0.99844
0:10:52,0.99844
0:10:54,0.99844
0:10:56,0.99844
0:10:58,0.99844
0:11:00,0.99843
0:11:02,0.99843
0:11:04,0.99843
0:11:06,0.99843
0:11:08,0.99843
0:11:10,0.99843
0:11:12,0.99843
0:11:14,0.99842
0:11:16,0.99842
0:11:18,0.99842
0:11:20,0.99842
0:11:22,0.99842
0:11:24,0.99842
0:11:26,0.99842
0:11:28,0.99841
0:11:30,0.99841
0:11:32,0.99841
0:11:34,0.99841
0:11:36,0.99841
0:11:38,0.99841
0:11:40,0.99840
0:11:42,0.99840
0:11:44,0.99840
0:11:46,0.99840
0:11:48,0.99840
0:11:50,0.99840
0:11:52,0.99840
0:11:54,0.99839
0:11:56,0.99839
0:11:58,0.99839
0:12:00,0.99839
0:12:02,0.99839
0:12:04,0.99839
0:12:06,0.99839
0:12:08,0.99838
0:12:10,0.99838
0:12:12,0.99838
0:12:14,0.99838
0:12:16,0.99838
0:12:18,0.99838
0:12:20,0.99838
0:12:22,0.99837
0:12:24,0.99837
0:12:26,0.99837
0:12:28,0.99837
0:12:30,0.99837
0:12:32,0.99036
0:12:34,0.97925
0:12:36,0.95828
0:12:38,0.93365
0:12:40,0.90901
0:12:42,0.87947
0:12:44,0.84804
0:12:46,0.81661
0:12:48,0.78518
0:12:50,0.75375
0:12:52,0.72858
0:12:54,0.70580
0:12:56,0.68303
0:12:58,0.66193
0:13:00,0.64148
0:13:02,0.62103
0:13:04,0.60058
0:13:06,0.57697
0:13:08,0.55219
0:13:10,0.52740
0:13:12,0.51049
0:13:14,0.49649
0:13:16,0.48249
0:13:18,0.47170
0:13:20,0.46214
0:13:22,0.45258
0:13:24,0.44301
0:13:26,0.42635
0:13:28,0.40699
0:13:30,0.38762
0:13:32,0.35842
0:13:34,0.32539
0:13:36,0.29236
0:13:38,0.25600
0:13:40,0.17067
0:13:42,0.08534
0:13:44,0.00000
0:13:46,0.00000
0:13:48,-0.04058
0:13:50,-0.08116
0:13:52,-0.12175
0:13:54,-0.16233
0:13:56,-0.16233
0:13:58,-0.20744
0:14:00,-0.25255
0:14:02,-0.29404
0:14:04,-0.33414
0:14:06,-0.37423
0:14:08,-0.41433
0:14:10,-0.45442
0:14:12,-0.48805
0:14:14,-0.51912
0:14:16,-0.55018
0:14:18,-0.58124
0:14:20,-0.61101
0:14:22,-0.64027
0:14:24,-0.66953
0:14:26,-0.70011
0:14:28,-0.73120
0:14:30,-0.76230
0:14:32,-0.79339
0:14:34,-0.81582
0:14:36,-0.83486
0:14:38,-0.85389
0:14:40,-0.86546
0:14:42,-0.87413
0:14:44,-0.86781
0:14:46,-0.85572
0:14:48,-0.83828
0:14:50,-0.81871
0:14:52,-0.79914
0:14:54,-0.77958
0:14:56,-0.76001
0:14:58,-0.74044
0:15:00,-0.72088
0:15:02,-0.70131
0:15:04,-0.68174
0:15:06,-0.66218
0:15:08,-0.64911
0:15:10,-0.63860
0:15:12,-0.62809
0:15:14,-0.61758
0:15:16,-0.60707
0:15:18,-0.59657
0:15:20,-0.58909
0:15:22,-0.58284
0:15:24,-0.57658
0:15:26,-0.58055
0:15:28,-0.58848
0:15:30,-0.60480
0:15:32,-0.62439
0:15:34,-0.65036
0:15:36,-0.67892
0:15:38,-0.70748
0:15:40,-0.73604
0:15:42,-0.76461
0:15:44,-0.79317
0:15:46,-0.82173
0:15:48,-0.84586
0:15:50,-0.86823
0:15:52,-0.89059
0:15:54,-0.91296
0:15:56,-0.93533
0:15:58,-0.95486
0:16:00,-0.97329
0:16:02,-0.99173
0:16:04,-0.99696
0:16:06,-0.99684
0:16:08,-0.99672
0:16:10,-0.99660
0:16:12,-0.99648
0:16:14,-0.99636
0:16:16,-0.99624
0:16:18,-0.99612
0:16:20,-0.99600
0:16:22,-0.99588
0:16:24,-0.99576
0:16:26,-0.99564
0:16:28,-0.99552
0:16:30,-0.99540
0:16:32,-0.99528
0:16:34,-0.99516
0:16:36,-0.99504
0:16:38,-0.99492
0:16:40,-0.99479
0:16:42,-0.99467
0:16:44,-0.99455
0:16:46,-0.99443
0:16:48,-0.99431
0:16:50,-0.99419
0:16:52,-0.99407
0:16:54,-0.99395
0:16:56,-0.99383
0:16:58,-0.99371
0:17:00,-0.99359
0:17:02,-0.99347
0:17:04,-0.99335
0:17:06,-0.99323
0:17:08,-0.99311
0:17:10,-0.99299
0:17:12,-0.99287
0:17:14,-0.99275
0:17:16,-0.99263
0:17:18,-0.99251
0:17:20,-0.99239
0:17:22,-0.99227
0:17:24,-0.99215
0:17:26,-0.99203
0:17:28,-0.99191
0:17:30,-0.98586
0:17:32,-0.97747
0:17:34,-0.96908
0:17:36,-0.96069
0:17:38,-0.95230
0:17:40,-0.94391
0:17:42,-0.93552
0:17:44,-0.92713
0:17:46,-0.92226
0:17:48,-0.91879
0:17:50,-0.91532
0:17:52,-0.91184
0:17:54,-0.90837
0:17:56,-0.90490
0:17:58,-0.90143
0:18:00,-0.90065
0:18:02,-0.90093
0:18:04,-0.90120
0:18:06,-0.90148
0:18:08,-0.89343
0:18:10,-0.88202
0:18:12,-0.87062
0:18:14,-0.85921
0:18:16,-0.83836
0:18:18,-0.81380
0:18:20,-0.78924
0:18:22,-0.76468
0:18:24,-0.74910
0:18:26,-0.73713
0:18:28,-0.72517
0:18:30,-0.71515
0:18:32,-0.70590
0:18:34,-0.69665
0:18:36,-0.68740
0:18:38,-0.67815
0:18:40,-0.66890
0:18:42,-0.65965
0:18:44,-0.64848
0:18:46,-0.63654
0:18:48,-0.63163
0:18:50,-0.62953
0:18:52,-0.62743
0:18:54,-0.63539
0:18:56,-0.64728
0:18:58,-0.66662
0:19:00,-0.68888
0:19:02,-0.71676
0:19:04,-0.74693
0:19:06,-0.77711
0:19:08,-0.80728
0:19:10,-0.83746
0:19:12,-0.86618
0:19:14,-0.89434
0:19:16,-0.92250
0:19:18,-0.95066
0:19:20,-0.97882
0:19:22,-0.99627
0:19:24,-0.99994
0:19:26,-0.99985
0:19:28,-0.99977
0:19:30,-0.99969
0:19:32,-0.99960
0:19:34,-0.99952
0:19:36,-0.99943
0:19:38,-0.99935
0:19:40,-0.99926
0:19:42,-0.99918
0:19:44,-0.99909
0:19:46,-0.99901
0:19:48,-0.98012
0:19:50,-0.95364
0:19:52,-0.88284
0:19:54,-0.82345
0:19:56,-0.77586
0:19:58,-0.72828
0:20:00,-0.68070
0:20:02,-0.63311
0:20:04,-0.58553
0:20:06,-0.53795
0:20:08,-0.49036
0:20:10,-0.44935
0:20:12,-0.41090
0:20:14,-0.37246
0:20:16,-0.34324
0:20:18,-0.31760
0:20:20,-0.30054
0:20:22,-0.28682
0:20:24,-0.28364
0:20:26,-0.28451
0:20:28,-0.29428
0:20:30,-0.30752
0:20:32,-0.32076
0:20:34,-0.34171
0:20:36,-0.36569
0:20:38,-0.38968
0:20:40,-0.41367
0:20:42,-0.43586
0:20:44,-0.45735
0:20:46,-0.47883
0:20:48,-0.50031
0:20:50,-0.51710
0:20:52,-0.53207
0:20:54,-0.54705
0:20:56,-0.56203
0:20:58,-0.57700
0:21:00,-0.59198
0:21:02,-0.60172
0:21:04,-0.60938
0:21:06,-0.61705
0:21:08,-0.62471
0:21:10,-0.63238
0:21:12,-0.64004
0:21:14,-0.64771
0:21:16,-0.64732
0:21:18,-0.64364
0:21:20,-0.63997
0:21:22,-0.62991
0:21:24,-0.61733
0:21:26,-0.60476
0:21:28,-0.59218
0:21:30,-0.57960
0:21:32,-0.56702
0:21:34,-0.55659
0:21:36,-0.54702
0:21:38,-0.53745
0:21:40,-0.52787
0:21:42,-0.51830
0:21:44,-0.50873
0:21:46,-0.50935
0:21:48,-0.51404
0:21:50,-0.51873
0:21:52,-0.52342
0:21:54,-0.52932
0:21:56,-0.53569
0:21:58,-0.54207
0:22:00,-0.54845
0:22:02,-0.55482
0:22:04,-0.56925
0:22:06,-0.57423
0:22:08,-0.60678
0:22:10,-0.64034
0:22:12,-0.66909
0:22:14,-0.69784
0:22:16,-0.72659
0:22:18,-0.76438
0:22:20,-0.80578
0:22:22,-0.84719
0:22:24,-0.88859
0:22:26,-0.93000
0:22:28,-0.97140
0:22:30,-0.99528
0:22:32,-0.99999
0:22:34,-0.99999
0:22:36,-0.99998
0:22:38,-0.99997
0:22:40,-0.99996
0:22:42,-0.99996
0:22:44,-0.99995
0:22:46,-0.99994
0:22:48,-0.99993
0:22:50,-0.99992
0:22:52,-0.99992
0:22:54,-0.99991
0:22:56,-1.00000
0:22:58,-1.00000
0:23:00,-1.00000
0:23:02,-1.00000
0:23:04,-1.00000
0:23:06,-1.00000
0:23:08,-1.00000
0:23:10,-1.00000
0:23:12,-1.00000
0:23:14,-1.00000
0:23:16,-1.00000
0:23:18,-1.00000
0:23:20,-1.00000
0:23:22,-1.00000
0:23:24,-1.00000
0:23:26,-1.00000
0:23:28,-1.00000
0:23:30,-1.00000
0:23:32,-1.00000
0:23:34,-1.00000
0:23:36,-1.00000
0:23:38,-1.00000
0:23:40,-1.00000
0:23:42,-1.00000
0:23:44,-1.00000
0:23:46,-1.00000
0:23:48,-1.00000
0:23:50,-1.00000
0:23:52,-1.00000
0:23:54,-1.00000
0:23:56,-1.00000
0:23:58,-1.00000
0:24:00,-1.00000
0:24:02,-1.00000
0:24:04,-1.00000
0:24:06,-1.00000
0:24:08,-1.00000
0:24:10,-1.00000
0:24:12,-1.00000
0:24:14,-1.00000
0:24:16,-1.00000
0:24:18,-1.00000
0:24:20,-1.00000
0:24:22,-1.00000
0:24:24,-1.00000
0:24:26,-1.00000
0:24:28,-1.00000
0:24:30,-0.99332
0:24:32,-0.97526
0:24:34,-0.94170
0:24:36,-0.93297
0:24:38,-0.85880
0:24:40,-0.79291
0:24:42,-0.73604
0:24:44,-0.67040
0:24:46,-0.60201
0:24:48,-0.52439
0:24:50,-0.44402
0:24:52,-0.35865
0:24:54,-0.27178
0:24:56,-0.18491
0:24:58,-0.09804
0:25:00,-0.01117
0:25:02,0.07570
0:25:04,0.16257
0:25:06,0.24944
0:25:08,0.32805
0:25:10,0.40415
0:25:12,0.42126
0:25:14,0.52294
0:25:16,0.59839
0:25:18,0.65641
0:25:20,0.73475
0:25:22,0.78328
0:25:24,0.82073
0:25:26,0.84959
0:25:28,0.87578
0:25:30,0.86840
0:25:32,0.88875
0:25:34,0.90452
0:25:36,0.91541
0:25:38,0.92630
0:25:40,0.93719
0:25:42,0.94808
0:25:44,0.95898
0:25:46,0.96451
0:25:48,0.96848
0:25:50,0.97244
0:25:52,0.97641
0:25:54,0.98038
0:25:56,0.98434
0:25:58,0.98831
0:26:00,0.98985
0:26:02,0.99065
0:26:04,0.98128
0:26:06,0.96889
0:26:08,0.94938
0:26:10,0.92773
0:26:12,0.90608
0:26:14,0.88443
0:26:16,0.86278
0:26:18,0.85777
0:26:20,0.81540
0:26:22,0.77508
0:26:24,0.73919
0:26:26,0.70331
0:26:28,0.66743
0:26:30,0.63154
0:26:32,0.59566
0:26:34,0.55978
0:26:36,0.52389
0:26:38,0.48801
0:26:40,0.45756
0:26:42,0.42872
0:26:44,0.39988
0:26:46,0.38091
0:26:48,0.36485
0:26:50,0.34879
0:26:52,0.33273
0:26:54,0.31667
0:26:56,0.30061
0:26:58,0.27622
0:27:00,0.24933
0:27:02,0.22243
0:27:04,0.19554
0:27:06,0.16542
0:27:08,0.13437
0:27:10,0.10331
0:27:12,0.09629
0:27:14,0.04925
0:27:16,0.01203
0:27:18,-0.01772
0:27:20,-0.04746
0:27:22,-0.07721
0:27:24,-0.08411
0:27:26,-0.12028
0:27:28,-0.14329
0:27:30,-0.15905
0:27:32,-0.17480
0:27:34,-0.19056
0:27:36,-0.20077
0:27:38,-0.20934
0:27:40,-0.21792
0:27:42,-0.22649
0:27:44,-0.23507
0:27:46,-0.24045
0:27:48,-0.24491
0:27:50,-0.24936
0:27:52,-0.25382
0:27:54,-0.25828
0:27:56,-0.26274
0:27:58,-0.25801
0:28:00,-0.25043
0:28:02,-0.24285
0:28:04,-0.22423
0:28:06,-0.20217
0:28:08,-0.18012
0:28:10,-0.14908
0:28:12,-0.14071
0:28:14,-0.07709
0:28:16,-0.02160
0:28:18,-0.09217
0:28:20,-0.09754
0:28:22,-0.09195
0:28:24,-0.08636
0:28:26,-0.08077
0:28:28,-0.07518
0:28:30,-0.06959
0:28:32,-0.06400
0:28:34,-0.06111
0:28:36,-0.06751
0:28:38,-0.07391
0:28:40,-0.08031
0:28:42,-0.08671
0:28:44,-0.09311
0:28:46,-0.09951
0:28:48,-0.10532
0:28:50,-0.10920
0:28:52,-0.11308
0:28:54,-0.11396
0:28:56,-0.10459
0:28:58,-0.09523
0:29:00,-0.08586
0:29:02,-0.07650
0:29:04,-0.06713
0:29:06,-0.05963
0:29:08,-0.05843
0:29:10,-0.05969
0:29:12,-0.06952
0:29:14,-0.07935
0:29:16,-0.08918
0:29:18,-0.09776
0:29:20,-0.10198
0:29:22,-0.10621
0:29:24,-0.11133
0:29:26,-0.11962
0:29:28,-0.12791
0:29:30,-0.13620
0:29:32,-0.14449
0:29:34,-0.15141
0:29:36,-0.15348
0:29:38,-0.15556
0:29:40,-0.15763
0:29:42,-0.15757
0:29:44,-0.15023
0:29:46,-0.14081
0:29:48,-0.12437
0:29:50,-0.10793
0:29:52,-0.09149
0:29:54,-0.07517
0:29:56,-0.05930
0:29:58,-0.04342
0:30:00,-0.02754
0:30:02,-0.01166
0:30:04,0.00421
0:30:06,0.02009
0:30:08,0.03339
0:30:10,0.03753
0:30:12,0.04166
0:30:14,0.04381
0:30:16,0.03926
0:30:18,0.03471
0:30:20,0.03016
0:30:22,0.02319
0:30:24,0.00776
0:30:26,-0.00767
0:30:28,-0.02270
0:30:30,-0.03630
0:30:32,-0.04990
0:30:34,-0.06350
0:30:36,-0.07710
0:30:38,-0.09070
0:30:40,-0.10430
0:30:42,-0.11790
0:30:44,-0.12926
0:30:46,-0.13258
0:30:48,-0.13590
0:30:50,-0.13922
0:30:52,-0.14254
0:30:54,-0.14455
0:30:56,-0.14207
0:30:58,-0.13959
0:31:00,-0.13712
0:31:02,-0.13464
0:31:04,-0.13216
0:31:06,-0.12968
0:31:08,-0.12720
0:31:10,-0.12473
0:31:12,-0.12225
0:31:14,-0.11977
0:31:16,-0.11971
0:31:18,-0.12804
0:31:20,-0.13637
0:31:22,-0.14470
0:31:24,-0.15437
0:31:26,-0.16865
0:31:28,-0.18294
0:31:30,-0.19722
0:31:32,-0.21150
0:31:34,-0.22579
0:31:36,-0.24007
0:31:38,-0.25435
0:31:40,-0.26864
0:31:42,-0.28633
0:31:44,-0.30920
0:31:46,-0.31321
0:31:48,-0.33162
0:31:50,-0.35191
0:31:52,-0.37221
0:31:54,-0.39250
0:31:56,-0.41279
0:31:58,-0.43308
0:32:00,-0.45338
0:32:02,-0.47367
0:32:04,-0.49173
0:32:06,-0.50192
0:32:08,-0.51212
0:32:10,-0.51896
0:32:12,-0.51395
0:32:14,-0.50585
0:32:16,-0.48662
0:32:18,-0.46353
0:32:20,-0.42728
0:32:22,-0.38714
0:32:24,-0.33297
0:32:26,-0.27880
0:32:28,-0.22462
0:32:30,-0.16870
0:32:32,-0.10662
0:32:34,-0.04453
0:32:36,0.02018
0:32:38,0.09388
0:32:40,0.16758
0:32:42,0.25822
0:32:44,0.37569
0:32:46,0.39136
0:32:48,0.46124
0:32:50,0.53112
0:32:52,0.59722
0:32:54,0.64684
0:32:56,0.67985
0:32:58,0.69642
0:33:00,0.71299
0:33:02,0.72956
0:33:04,0.74281
0:33:06,0.74439
0:33:08,0.74596
0:33:10,0.74469
0:33:12,0.73349
0:33:14,0.71944
0:33:16,0.69512
0:33:18,0.67081
0:33:20,0.64649
0:33:22,0.62218
0:33:24,0.59786
0:33:26,0.57355
0:33:28,0.54923
0:33:30,0.52492
0:33:32,0.50060
0:33:34,0.47795
0:33:36,0.46108
0:33:38,0.44421
0:33:40,0.42735
0:33:42,0.41048
0:33:44,0.39699
0:33:46,0.39552
0:33:48,0.39405
0:33:50,0.39478
0:33:52,0.40305
0:33:54,0.41437
0:33:56,0.43630
0:33:58,0.45823
0:34:00,0.48016
0:34:02,0.50209
0:34:04,0.52405
0:34:06,0.54612
0:34:08,0.56820
0:34:10,0.59027
0:34:12,0.61235
0:34:14,0.63442
0:34:16,0.65649
0:34:18,0.67857
0:34:20,0.70064
0:34:22,0.72271
0:34:24,0.74479
0:34:26,0.76566
0:34:28,0.78234
0:34:30,0.79902
0:34:32,0.81277
0:34:34,0.81648
0:34:36,0.81792
0:34:38,0.81146
0:34:40,0.80500
0:34:42,0.79501
0:34:44,0.77750
0:34:46,0.77412
0:34:48,0.75912
0:34:50,0.74037
0:34:52,0.70833
0:34:54,0.67629
0:34:56,0.64425
0:34:58,0.61221
0:35:00,0.58017
0:35:02,0.54813
0:35:04,0.51472
0:35:06,0.47650
0:35:08,0.43827
0:35:10,0.40005
0:35:12,0.36284
0:35:14,0.32918
0:35:16,0.29552
0:35:18,0.26186
0:35:20,0.22975
0:35:22,0.20303
0:35:24,0.17630
0:35:26,0.14957
0:35:28,0.12284
0:35:30,0.09611
0:35:32,0.06938
0:35:34,0.04492
0:35:36,0.02818
0:35:38,0.01145
0:35:40,-0.00214
0:35:42,-0.00446
0:35:44,-0.00678
0:35:46,-0.00645
0:35:48,0.00294
0:35:50,0.01467
0:35:52,0.03482
0:35:54,0.05496
0:35:56,0.07773
0:35:58,0.10954
0:36:00,0.14136
0:36:02,0.17318
0:36:04,0.20425
0:36:06,0.23268
0:36:08,0.26112
0:36:10,0.28658
0:36:12,0.30164
0:36:14,0.31670
0:36:16,0.32843
0:36:18,0.32877
0:36:20,0.32912
0:36:22,0.32946
0:36:24,0.32980
0:36:26,0.33014
0:36:28,0.33049
0:36:30,0.33083
0:36:32,0.33117
0:36:34,0.33151
0:36:36,0.33186
0:36:38,0.33220
0:36:40,0.33254
0:36:42,0.33183
0:36:44,0.32750
0:36:46,0.32068
0:36:48,0.30511
0:36:50,0.28954
0:36:52,0.27397
0:36:54,0.25599
0:36:56,0.22243
0:36:58,0.19554
0:37:00,0.16542
0:37:02,0.13437
0:37:04,0.10331
0:37:06,0.09629
0:37:08,0.04925
0:37:10,0.01203
0:37:12,-0.01772
0:37:14,-0.04746
0:37:16,-0.07721
0:37:18,-0.08411
0:37:20,-0.12028
0:37:22,-0.14329
0:37:24,-0.15905
0:37:26,-0.17480
0:37:28,-0.19056
0:37:30,-0.20077
0:37:32,-0.20934
0:37:34,-0.21792
0:37:36,-0.22649
0:37:38,-0.23507
0:37:40,-0.24045
0:37:42,-0.24491
0:37:44,-0.24936
0:37:46,-0.25382
0:37:48,-0.25828
0:37:50,-0.26274
0:37:52,-0.25801
0:37:54,-0.25043
0:37:56,-0.24285
0:37:58,-0.22423
0:38:00,-0.20217
0:38:02,-0.18012
0:38:04,-0.14908
0:38:06,-0.14071
0:38:08,-0.07709
0:38:10,-0.02160
0:38:12,0.02466
0:38:14,0.07092
0:38:16,0.11718
0:38:18,0.16344
0:38:20,0.20970
0:38:22,0.25595
0:38:24,0.30221
0:38:26,0.34511
0:38:28,0.38695
0:38:30,0.42878
0:38:32,0.47062
0:38:34,0.50520
0:38:36,0.53754
0:38:38,0.56987
0:38:40,0.59456
0:38:42,0.61682
0:38:44,0.63908
0:38:46,0.66134
0:38:48,0.67515
0:38:50,0.68621
0:38:52,0.69726
0:38:54,0.70788
0:38:56,0.71835
0:38:58,0.72882
0:39:00,0.73929
0:39:02,0.75514
0:39:04,0.77269
0:39:06,0.77691
0:39:08,0.80236
0:39:10,0.81897
0:39:12,0.83015
0:39:14,0.84134
0:39:16,0.85253
0:39:18,0.85130
0:39:20,0.84597
0:39:22,0.83183
0:39:24,0.81495
0:39:26,0.79189
0:39:28,0.76683
0:39:30,0.74177
0:39:32,0.72569
0:39:34,0.71253
0:39:36,0.70977
0:39:38,0.71040
0:39:40,0.71104
0:39:42,0.72297
0:39:44,0.73846
0:39:46,0.75394
0:39:48,0.76943
0:39:50,0.79038
0:39:52,0.81307
0:39:54,0.83576
0:39:56,0.85844
0:39:58,0.88113
0:40:00,0.90382
